state_ut,serial_no,address_raw,host_organization,year_of_sanction,type
Uttar Pradesh,3,"At Jau-Inyatpur, Sikandara-Rau Tehsil, Distt. Mahamaya Nagar-","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2009,SAU
Uttar Pradesh,4,"At village Malhana, Bhatpar Rani, Distt. Deoria-","Director, Indian Institute of Vegetables Research (IIVR), Varanasi",2009,ICAR
Uttar Pradesh,5,Distt. St. Ravidas Nagar,"Director, Indian Institute of Vegetables Research (IIVR), Varanasi",2008,ICAR
Uttar Pradesh,6,"Vilalge Kamasin, Distt. Banda, U.P.","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2007,SAU
Uttar Pradesh,7,"Village Parwaha, District Auraiya-","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2007,SAU
Uttar Pradesh,8,"Malak Moinuddin, The. Chayal, Distt. Kaushambi	Dr. Bhim Ra Ambedkar Welfare Society, 8 A/1 Elgin Road, Civil Lines, Allahabad-211012.	2006 NGO",,2006,NGO
Uttar Pradesh,9,"Coat Gaon, SDO Office, Tehsil-Dadri Distt. Gautam Budha Nagar-203207","Vice-Chancellor, Sardar Vallabh Bhai Patel University of Agriculture & Technology, Modipuram, Meerut-250 110",2005,SAU
Uttar Pradesh,10,"Krishi Bhavan (Politechnic Chauraha), Distt. Jaunpur-222002","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",2005,SAU
Uttar Pradesh,11,Bichiya Agril Farm (Near Vikas Bhawan) Distt. Chandauli-232104,"Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",2005,SAU
Uttar Pradesh,12,"(Near Block Development Officers office) Block Pach Pedwa, Distt. Balrampur-271201","Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",2005,SAU
Uttar Pradesh,14,"Govt. Agriculture Farm, Rura Mallu, PO. Shahjadpur, Distt. Jalaun-285001","Vice-Chancellor, C.S.Azad. Univ. of Agril. & Technology, Kanpur-208 002",2005,SAU
